"","MDS1","MDS2","MDS3"
"ARCS_100",0.280091846879891,-0.285851224764792,0.468834594007923
"ARCS_101",0.0801613742236602,0.676808748466677,-0.724649021948439
"ARCS_102",0.619579424306176,0.377015567285793,-0.527716390111092
"ARCS_108",0.662443676936708,0.474566979198866,0.0361689614266783
"ARCS_110",0.868611977518795,0.277463759573635,0.621198942671516
"ARCS_112",0.191340857159332,0.772893420625621,-0.747364926721318
"ARCS_116",0.698339870186709,0.447791839685592,-0.0595818572350558
"ARCS_124",-0.491923431593234,-1.41790533149007,0.800490831994813
"ARCS_126",0.755456515047379,0.487981667734009,1.04410792017207
"ARCS_127",-0.149741821816314,-0.690238647291616,0.271248704028618
"ARCS_129",0.651200580574251,0.511877818773542,0.150982921649157
"ARCS_130",-1.30642719073431,-0.0380304972898541,2.52567710964202
"ARCS_134",0.509021482438674,-0.125807251351888,0.578966466952714
"ARCS_135",-1.37914080811709,0.846368619576929,1.18711430888223
"ARCS_136",-1.17306272175417,1.66462069086436,0.581859248606763
"ARCS_139",-0.151048370963978,-0.414983930476383,-0.131020541684826
"ARCS_140",0.405025209657313,-0.0960936045854075,0.133928376474292
"ARCS_141",0.240165712956927,0.745444759806297,-0.681706842891672
"ARCS_142",0.169478500218059,0.789803610197271,-0.757469016568844
"ARCS_145",0.865491456940366,0.275801653751008,0.558948206356819
"ARCS_16",-0.49001364126561,-0.178546475501355,1.40607922419554
"ARCS_19",-0.498136461926967,-0.49116817765239,-0.35501173095789
"ARCS_20",-1.35534161277869,0.127260511837046,1.24251853815298
"ARCS_21",-1.64587006578109,-0.209102992500572,0.696759899979855
"ARCS_22",-0.417227771241406,-1.45923351009915,0.817837931665382
"ARCS_24",0.15846958888742,1.35277918194129,1.51959182241467
"ARCS_25",0.13596152159135,-0.359351934675337,0.186886397628622
"ARCS_26",-0.0257586317512844,1.62641813587933,1.4462482659618
"ARCS_30",0.44359142632264,-0.213744040018544,0.522387393018893
"ARCS_51",0.496895633634966,0.494320591923156,-0.615632780168376
"ARCS_62",-0.266764144337008,-1.53208123656499,1.05765537758588
"ARCS_63",-1.89112912190853,0.872962980966217,-0.099114826869794
"ARCS_64",-2.34044491350502,1.59357571961479,-0.28974064588267
"ARCS_8",0.666475871245943,0.474834429884,0.0475659404513386
"BDWF_10",3.63779046194714,0.0352486044381453,0.223323019495666
"BDWF_104",-1.55752858274099,1.48515265447143,0.064674276610519
"BDWF_107",-0.02483304365833,-0.876160644494282,1.35033448135723
"BDWF_113",0.062623980335251,-0.575837214899364,0.510143559001533
"BDWF_114",-0.610089553524851,-0.97799065865915,0.145308927029782
"BDWF_118",0.686346863261534,0.354326713136048,-0.369329120055936
"BDWF_124",0.864965813042787,0.254172354667976,0.448402088673826
"BDWF_32",2.32573639527238,-0.418475600795419,0.170328900218065
"BDWF_47",-4.24685720965217,-1.90870876966896,0.507334494128938
"BDWF_48",-1.70875848791969,2.05938776050891,0.262986516749443
"BDWF_49",-2.23512278228929,1.66475987771008,-0.224789823584339
"BDWF_54",3.81573450990206,0.0139804291659978,0.293878883467993
"BDWF_56",-3.62874712899464,-0.468935028486877,0.175511970104827
"BDWF_64",-1.3943541422342,-1.01047486079981,-0.210438544612748
"BDWF_66",3.10562900804127,-0.47266956222897,-0.000905615791897007
"BDWF_70",3.18698877914252,-0.420314939332088,0.162531656441766
"BDWF_83",0.151615876016594,-1.7632130646357,-2.5882323749545
"BDWF_89",3.17750861223441,-0.433319803962941,0.141600617357068
"BDWF_92",4.073328429274,0.0611793237597947,0.013667845488501
"BDWF_94",2.99629483704679,-0.449915588360837,-1.03365093877286
"BDWF_95",5.05124810280785,-0.782336719644901,0.282623731388575
"HBWF_100",-0.850342318493853,-0.815819373377239,-0.234252763147777
"HBWF_102",-0.4756235724303,0.997959083198766,-0.408248331891723
"HBWF_109",0.66626129909139,0.33053849185586,-0.464990988825679
"HBWF_11",-0.753728514551351,-0.675453299539923,-0.679417450793933
"HBWF_110",0.690100567645771,0.345270166496556,-0.385479407368782
"HBWF_12",0.781031442653512,0.507653532934346,0.957463051190768
"HBWF_13",-1.49353361881062,-0.553093115614721,-0.905480822387479
"HBWF_18",0.149734254437849,-0.444400329090898,-0.661540556121664
"HBWF_19",1.27026992067996,-2.34288751887749,-0.753393362321011
"HBWF_23",-0.367382674031118,-0.0431691534673565,-0.585226454999656
"HBWF_26",-0.834601815216696,-1.27985660315445,0.0895668858757979
"HBWF_31",-0.395326658267144,-0.667330800038445,-0.982851817357051
"HBWF_32",-0.644210499456674,-0.383912463208415,-0.912755225238614
"HBWF_33",-0.874827928789324,-1.25404481344138,0.0442250525659234
"HBWF_35",-1.13585667378222,-1.16001659140447,-0.618346928909507
"HBWF_37",-1.25038008063267,-1.06847202676227,-1.00837939224965
"HBWF_40",-2.42763219914605,1.51882141135188,-0.416949363918761
"HBWF_41",-5.32026603291769,-1.5136248496283,-0.322079107436917
"HBWF_42",0.681583621413836,0.0258072599733921,-0.71675331930568
"HBWF_45",-0.0337081785072015,-0.620338222415663,0.382894014199051
"HBWF_46",-0.12316772569693,1.0415213623228,-1.28825677322146
"HBWF_47",1.06900962484858,-1.91363548760815,-1.30871726272624
"HBWF_48",4.44822341901058,-0.15137444793327,-0.0870297944896907
"HBWF_5",0.0120608405967779,-1.02146762804428,-0.32708062856287
"HBWF_53",-0.581920976427281,-1.36795413891745,0.643214239135738
"HBWF_57",4.28393777351564,-0.104598850483037,0.0500201136778218
"HBWF_6",-0.477270696145022,-0.556455499314079,-0.89928362160798
"HBWF_61",0.767307661046889,0.513404135513553,0.981421171727426
"HBWF_63",-0.658774797365327,-0.297069372270149,0.984169690873059
"HBWF_65",-0.761139738166608,-0.0163395757364821,-1.18336006269969
"HBWF_66",-0.497994326431698,0.639533631764227,-1.62159573476752
"HBWF_67",0.590745484144598,0.403136317893583,-0.557558065288788
"HBWF_68",1.72776176258293,-0.157303079906435,0.210756077675044
"HBWF_69",0.834065245247642,0.417716016243236,0.921611868408468
"HBWF_70",0.323813961781671,-1.46582481410272,0.359560016193975
"HBWF_71",0.691245484696606,0.368929092589229,-0.351118372253151
"HBWF_72",-0.157129995432505,-0.106066963729699,0.646298288380075
"HBWF_74",-4.36461600019086,-1.8366453334725,0.631832127452795
"HBWF_81",3.06296370737938,-0.615885939225818,-0.0768104007237087
"HBWF_83",2.99220121986062,-0.563376832644607,-0.662410622136696
"HBWF_92",-0.205217769403384,-0.389541986118387,-0.224169954786611
"HBWF_93",-1.17619869481658,-1.11545877657726,-0.924742615561713
"HBWF_94",0.63560571632308,0.371463032993308,-0.491013260608409
"HBWF_98",5.09423956461186,-0.859191964268836,0.114332839374835
"LSCS_100",-2.234187200623,1.65641163919264,-0.248143447559691
"LSCS_101",-2.09380538964929,2.008407678378,1.25970815367171
"LSCS_102",-1.66944453023839,0.533181042460327,0.163335134734487
"LSCS_103",-4.00469032396296,-2.92403132103717,0.425659602148679
"LSCS_108",0.0366098441954733,-0.61753445314558,0.53637977618638
"LSCS_118",0.624110597668501,0.385183587210871,-0.509674238452643
"LSCS_125",0.624969695776906,0.392263775960111,-0.493340407993305
"LSCS_126",3.40358390774294,-0.382909300704099,0.305336906129117
"LSCS_127",-0.106817026896871,-0.133095826800503,-0.403135398449406
"LSCS_135",-0.911558999833419,-0.353122960510969,-1.04330065730551
"LSCS_138",0.83918442788637,0.366242635317662,0.867684250220665
"LSCS_143",-2.16051546456665,-1.3128765417326,0.531951367296298
"LSCS_146",0.696282449734703,0.328683945369716,-0.410246924611092
"LSCS_148",0.181981166256274,-0.258584747269481,0.0897907251025674
"LSCS_150",0.825490344600616,0.334822004779661,0.389191967035873
"LSCS_151",-1.22030551614172,1.24205403739447,-0.595183968706312
"LSCS_152",0.638935109501183,0.368240762028898,-0.488486468155826
"LSCS_154",0.444906212134334,0.99707671499424,1.47627205186239
"LSCS_155",0.716387976095815,0.363966559869403,-0.253145845307292
"LSCS_156",0.685581763059564,0.354457104309289,-0.380292758360505
