"","MDS1","MDS2"
"ARCS_100",0.178378415672242,0.433356263859965
"ARCS_101",0.206332381818909,-0.52003922921657
"ARCS_102",0.465795052865691,-0.297313334193028
"ARCS_108",0.563782878036627,0.0231259399590854
"ARCS_110",0.727338165369459,0.345740388420145
"ARCS_112",0.304246015381255,-0.567775684752807
"ARCS_116",0.561766171200943,-0.0304648131916804
"ARCS_124",-0.648061706651504,1.02768972491
"ARCS_126",0.828036036050989,0.598638724832989
"ARCS_127",-0.192571930612028,0.481437791629717
"ARCS_129",0.598340876792571,0.0884351640733863
"ARCS_130",-0.931960577325869,2.14342045671138
"ARCS_134",0.364879395678533,0.450053904213355
"ARCS_135",-1.22122851569086,-0.421309817361758
"ARCS_136",-0.755185430946225,-1.07753393878615
"ARCS_139",-0.158518972622369,0.179653065057601
"ARCS_140",0.245103634482445,0.200547867040466
"ARCS_141",0.310896016110109,-0.516700183655755
"ARCS_142",0.290203239015368,-0.577842706327916
"ARCS_145",0.71599795265784,0.313686814820321
"ARCS_16",-0.035329860365714,1.06102772441813
"ARCS_19",-0.385998656161971,0.12137495691877
"ARCS_20",-0.378639316386908,1.32089909477194
"ARCS_21",-1.12300276535069,0.52685679051402
"ARCS_22",-0.625377473934761,1.07538373103279
"ARCS_24",0.815378008840011,1.24423179606798
"ARCS_25",0.0419623713767665,0.307711898861361
"ARCS_26",0.736469998143743,1.40023857174566
"ARCS_30",0.28534040651478,0.451403535116986
"ARCS_51",0.399288960172279,-0.361096810287951
"ARCS_62",-0.595981905958764,1.24877584399956
"ARCS_63",-1.21826135059016,-0.850771189036093
"ARCS_64",-1.47806522435334,-1.52076768379248
"ARCS_8",0.568810469816352,0.0266559612565441
"BDWF_10",3.70085929561719,0.131157702476748
"BDWF_104",-0.895994036461484,-1.07180992978874
"BDWF_107",-0.00467041277362439,1.17467976680167
"BDWF_113",-0.0255041480443217,0.556281033349403
"BDWF_114",-0.525919055876309,0.54680501303826
"BDWF_118",0.506295010645045,-0.198685796862167
"BDWF_124",0.668866595654294,0.267347727435188
"BDWF_32",1.88851801000043,-0.0269646055572257
"BDWF_47",-4.81556682541451,0.511421722087393
"BDWF_48",-1.80547663375446,-1.15816941918728
"BDWF_49",-1.54378197606525,-1.45666251537704
"BDWF_54",3.80907676548308,0.0551306732692929
"BDWF_56",-3.18135575276946,-0.419310425350715
"BDWF_64",-1.41393784404525,0.374803948783332
"BDWF_66",3.25623952652576,-0.0391216959980953
"BDWF_70",3.36368792227302,-0.0401691882432296
"BDWF_83",-2.45588514242621,0.157266961401245
"BDWF_89",3.35581048795505,-0.034342065763482
"BDWF_92",3.96756170731644,-0.168734275553947
"BDWF_94",3.19367346965603,-0.761748125432913
"BDWF_95",4.67580154468043,-0.354143818128708
"HBWF_100",-0.655551820034279,0.334586713818028
"HBWF_102",-0.158335899311565,-0.691973508013175
"HBWF_109",0.471297997748996,-0.242200269288357
"HBWF_11",-0.673417217974492,0.101055976329183
"HBWF_110",0.508495837647745,-0.208161050585554
"HBWF_12",0.815437283861242,0.551044769326576
"HBWF_13",-1.14755939866609,0.105827839313675
"HBWF_18",-0.207804131994902,-0.0457110026349329
"HBWF_19",-1.92142387093216,1.57267387793174
"HBWF_23",-0.227008430981959,-0.176880120443345
"HBWF_26",-0.80931232887081,0.645632620769752
"HBWF_31",-0.630826567138558,-0.0685557723935683
"HBWF_32",-0.545238279050759,-0.185530592422137
"HBWF_33",-0.824593591193722,0.618786505637974
"HBWF_35",-1.04323460782612,0.321769378585662
"HBWF_37",-1.26301699940745,0.183467856568643
"HBWF_40",-1.43814082867476,-1.60014449413622
"HBWF_41",-5.64034830730785,0.0243616017491562
"HBWF_42",0.207768421472237,-0.248200774453121
"HBWF_45",-0.102213046189355,0.498187548710541
"HBWF_46",0.27863877790318,-0.994358502198113
"HBWF_47",-1.94262835477509,1.24912081244858
"HBWF_48",4.18571476354562,0.0837316604528032
"HBWF_5",-0.443236943442595,0.395861843450151
"HBWF_53",-0.671279739158049,0.920752096605549
"HBWF_57",4.09853228586083,-0.0105066261241261
"HBWF_6",-0.574614082768159,-0.0732557933572114
"HBWF_61",0.827357875994619,0.558731776601394
"HBWF_63",-0.257671917994919,0.818620587641118
"HBWF_65",-0.524372779068938,-0.462863117783849
"HBWF_66",-0.142210486218184,-1.03201747535792
"HBWF_67",0.458741863880435,-0.319561285797735
"HBWF_68",1.44189694783227,0.0297399686703858
"HBWF_69",0.827069833847479,0.495587512017892
"HBWF_70",-0.354848797645014,1.00292730301334
"HBWF_71",0.515887208425777,-0.188782540385743
"HBWF_72",0.0562533554985384,0.523754787817016
"HBWF_74",-4.9316473334891,0.49881767331911
"HBWF_81",3.23733300405763,-0.188408865855118
"HBWF_83",3.12806933336299,-0.491671611705889
"HBWF_92",-0.196356558538803,0.13415003251695
"HBWF_93",-1.1631019751881,0.214946933096304
"HBWF_94",0.469875460711203,-0.273227730044057
"HBWF_98",4.72326696261188,-0.245346322448887
"LSCS_100",-1.5292281705122,-1.46508753793123
"LSCS_101",-2.21398601013529,-0.948500320080774
"LSCS_102",-1.15564511867521,-0.599969904368805
"LSCS_103",-5.02559218773643,1.20731780471258
"LSCS_108",-0.0451821355602639,0.584575067930656
"LSCS_118",0.46942401643402,-0.287017465924838
"LSCS_125",0.471531823276307,-0.280068249105522
"LSCS_126",3.53888550006874,-0.167359204237242
"LSCS_127",-0.0870725995934374,-0.0565200777720878
"LSCS_135",-0.727141609342588,-0.204735095122712
"LSCS_138",0.787302213386205,0.484321622200705
