"","MDS1","MDS2","MDS3"
"Isopods.Weight_g",-0.97017681895456,-0.6360130433764,-0.787374491244189
"Amphipods.Weight_g",-0.208584113311989,0.488361899863268,-1.09760240998922
"Bivalves.Weight_g",0.122213887239224,-1.64853988396434,-2.47211681053796
"Oligochaets.Weight_g",4.85993187102739,-0.661375840347884,0.248951428585008
"Chironomid.Weight_g",-2.0918518007842,1.57606804161835,-0.573245476509427
"Mysid.Weight_g",-1.50455724244389,0.031044860499174,1.14312546776001
"Nematodes.Weight_g",-4.85370273920141,-1.42592796979486,0.0011206166431923
