"","Isopods.Weight_g","Amphipods.Weight_g","Bivalves.Weight_g","Oligochaets.Weight_g","Chironomid.Weight_g","Mysid.Weight_g","Nematodes.Weight_g"
"LSCS_97",0,0,0,0,0.379249706916764,0,0
"LSCS_98",0,0,0,0,0.334701055099648,0,0
"ARCS_63",0.00502386335091686,0,0,0,0.211019929660023,0,0
"ARCS_110",0,0.00318367877330908,0,0,0,0,0
"BDWF_113",0.0087917608641045,0.00233902930283932,0,0,0,0,0
"LSCS_126",0,0,0,0.0298305084745763,0,0,0
"LSCS_58",0,0.0184523422779546,0,0,0,0,0
"BDWF_54",0,0,0,0.0633898305084746,0,0,0
"LSCS_52",0,0.0417776622701579,0,0,0,0,0
"ARCS_24",0,0.000129946072379962,0,0,0,0,0
"ARCS_26",0,6.49730361899812e-05,0,0,0,0,0
"LSCS_55",0,0.0673770385290105,0,0,0,0,0
"HBWF_48",0,0,0,0.171186440677966,0,0,0
"ARCS_25",0.00929414719919618,0.006887141836138,0,0,0,0,0
"HBWF_47",0,0,0.0122893258426966,0,0,0,0
"ARCS_19",0.075106757096207,0.00948606328373725,0,0,0,0,0
"ARCS_21",0.0612911328811856,0.00487297771424859,0,0,0,1,0
"HBWF_46",0,0.305373270092911,0,0,0,0,0
"LSCS_50",0,0.0500292378662855,0,0,0.00586166471277843,0,0
"HBWF_40",0,0,0,0,0.293083235638921,0,0
"LSCS_46",0,0,0,0,0.63305978898007,0,0
"BDWF_48",0,0,0,0,0.041031652989449,0,0
"ARCS_16",0.00125596583772921,0.000649730361899812,0,0,0,0.0167597765363128,0
"HBWF_41",0,0,0,0,0,0,1
"HBWF_42",0,0.0227405626664934,0.0105337078651685,0,0,0,0
"HBWF_45",0.0125596583772921,0.00259892144759925,0,0,0,0,0
"LSCS_45",0,0,0,0,0,0,0.0470588235294118
"ARCS_20",0.00376789751318764,0.00246897537521928,0,0,0,0.396648044692737,0
"ARCS_22",0.00401909068073348,0,0,0,0,0,0
"BDWF_47",0,0,0,0,0,0,0.0588235294117647
"LSCS_87",0,0.00246897537521928,0,0,0,0,0
"LSCS_100",0,0,0,0,0.202227432590856,0,0
"ARCS_62",0.00200954534036674,0,0,0,0,0,0
"LSCS_94",0.0452147701582517,0.00259892144759925,0,0,0.00293083235638921,0,0
"LSCS_95",0,0,0,0,0.128956623681125,0,0
"LSCS_88",0,0.00175427197712949,0,0,0,0,0
"ARCS_64",0,0,0,0,0.228604923798359,0,0
"HBWF_70",0.00251193167545843,0.000259892144759925,0.0101825842696629,0,0,0,0
"LSCS_101",0,0,0,0,0.00586166471277843,0,0
"HBWF_74",0,0,0,0,0,0,0.0658823529411765
"HBWF_69",0,0.00181924501331947,0,0,0,0,0
"HBWF_71",0,0.0168929894093951,0,0,0,0,0
"HBWF_72",0.00401909068073348,0.0044831394971087,0,0,0,0.0111731843575419,0
"LSCS_89",0,0.00110454161522968,0,0,0,0,0
"LSCS_78",0,0,0,0.0833898305084746,0,0,0
"LSCS_81",0,0.0393086868949386,0,0,0,0,0
"HBWF_68",0,0.00181924501331947,0,0.00949152542372881,0,0,0
"LSCS_84",0,0.0024040023390293,0,0,0,0,0
"BDWF_49",0,0,0,0,0.194021101992966,0,0
"BDWF_64",0.0778698819392113,0,0,0,0,0,0.00274509803921569
"HBWF_66",0.00376789751318764,1,0.00351123595505618,0,0,0,0
"HBWF_67",0,0.0234552660645832,0,0,0,0,0
"HBWF_65",0.160763627229339,0.402832824377883,0,0,0,0,0
