Sample_ID,Species,Group,FL,Acoustic,C,N,PercentC,AdjC,BulkTP,Locality,Year,CCSIA_TP,DispDist_km,DispDirect,N_Glu
40075,GT,4,90,,-10.80983224,12.58136731,45.5,-10.80983224,3.35,PROV,2017,3.769035088,,,
40076,GT,4,91,,-10.74041165,12.33035542,42.1,-10.74041165,3.28,PROV,2017,3.552807018,,,
40078,GT,4,89,,-15.17924555,12.61921831,50.3,-13.84660963,3.36,PROV,2017,3.59754386,,,
40079,GT,4,79,,-13.12725472,12.6102536,43.3,-13.12725472,3.36,PROV,2017,3.854444444,,,
40081,GT,4,82,,-13.35593429,13.38121869,43.6,-13.35593429,3.59,PROV,2017,4.016491228,,,
40082,GT,4,79,,-10.10950104,13.19893625,43.2,-10.10950104,3.53,PROV,2017,3.662807018,,,
BT_PROV_03,BT,4,62,,-11.37948939,12.35625347,42.3,-11.37948939,3.28,PROV,2017,3.358684211,,,
BT_PROV_04,BT,4,72,,-14.84235153,12.94692828,45,-14.84235153,3.46,PROV,2017,3.730877193,,,
BT_PROV_05,BT,4,68,,-11.80111736,12.92202631,43.5,-11.80111736,3.45,PROV,2017,3.644912281,,,
BT_PROV_06,BT,4,58,,-10.91294222,12.33234758,41.7,-10.91294222,3.28,PROV,2017,3.360263158,,,
BT_PROV_07,BT,4,64,,-13.41718775,13.41010498,45,-13.41718775,3.59,PROV,2017,4.209210526,,,
BT_PROV_09,BT,4,58,,-11.51016344,12.00563369,45.4,-11.51016344,3.18,PROV,2017,3.375350877,,,
40116,GT,5,31,,-15.49367997,12.43892803,43.2,-15.49367997,2.5,MAU,2017,3.91871345,,,
40117,GT,5,31.5,,-14.84541421,12.44092018,43.4,-14.84541421,2.5,MAU,2017,3.581169591,,,
40643,GT,6,34,,NA,NA,NA,NA,NA,MTENTU,2017,3.947631579,,,
